mano,mano_str,prob_grande,prob_chica,tiene_pares,tiene_juego,tipo_pares,valor_juego,valor_punto,W_pares,W_juego,W_punto,EV_pos1,EV_pos2,EV_pos3,EV_pos4,diff_pos1_pos4,diff_pos1_pos2
"[4, 4, 7, 10]","[4,4,7,10]",0.0168,0.0973,True,False,pares,0,25,1,0.0,1.0,2.1293098480214723,2.0968040565156807,2.0968040565156807,2.0642982650098896,0.06501158301158272,0.03250579150579158
"[4, 4, 6, 10]","[4,4,6,10]",0.0113,0.1049,True,False,pares,0,24,1,0.0,1.0,2.1233977598985696,2.0907722772730866,2.0907722772730866,2.0581467946476044,0.06525096525096519,0.03262548262548304
"[4, 4, 5, 10]","[4,4,5,10]",0.0092,0.1034,True,False,pares,0,23,1,0.0,1.0,2.119448708626237,2.0868425310200593,2.0868425310200593,2.0542363534138817,0.06521235521235536,0.03260617760617768
"[4, 4, 6, 7]","[4,4,6,7]",0.0027,0.1083,True,False,pares,0,21,1,0.0,1.0,2.105244889520068,2.0727815690567475,2.0727815690567475,2.0403182485934277,0.06492664092664047,0.03246332046332068
"[5, 5, 6, 7]","[5,5,6,7]",0.0024,0.0256,True,False,pares,0,23,1,0.0,1.0,2.1027350402125657,2.0702022216797475,2.0702022216797475,2.037669403146929,0.06506563706563684,0.0325328185328182
"[4, 4, 5, 7]","[4,4,5,7]",0.0012,0.1027,True,False,pares,0,20,1,0.0,1.0,2.098066774528545,2.0656845351463056,2.0656845351463056,2.0333022957640665,0.06476447876447855,0.0323822393822395
"[4, 5, 6, 10]","[4,5,6,10]",0.0124,0.0871,False,False,sin_pares,0,25,0,0.0,1.0,2.093424227615909,2.093424227615909,2.093424227615909,2.093424227615909,0.0,0.0
"[4, 5, 7, 10]","[4,5,7,10]",0.0174,0.0789,False,False,sin_pares,0,26,0,0.0,1.0,2.0932820325659085,2.0932820325659085,2.0932820325659085,2.0932820325659085,0.0,0.0
"[5, 6, 7, 11]","[5,6,7,11]",0.0655,0.0193,False,False,sin_pares,0,28,0,0.0,1.0,2.0909891247795453,2.0909891247795453,2.0909891247795453,2.0909891247795453,0.0,0.0
"[4, 4, 5, 6]","[4,4,5,6]",0.0003,0.0992,True,False,pares,0,19,1,0.0,1.0,2.0896986969113547,2.05714271235537,2.05714271235537,2.024586727799386,0.06511196911196881,0.03255598455598463
"[4, 6, 7, 10]","[4,6,7,10]",0.0211,0.0617,False,False,sin_pares,0,27,0,0.0,1.0,2.087353556015909,2.087353556015909,2.087353556015909,2.087353556015909,0.0,0.0
"[4, 5, 6, 7]","[4,5,6,7]",0.0024,0.0908,False,False,sin_pares,0,22,0,0.0,1.0,2.068841504609091,2.068841504609091,2.068841504609091,2.068841504609091,0.0,0.0
"[5, 6, 7, 10]","[5,6,7,10]",0.0202,0.0217,False,False,sin_pares,0,28,0,0.0,1.0,2.0493920500840908,2.0493920500840908,2.0493920500840908,2.0493920500840908,0.0,0.0
