mano,prob_grande,prob_chica,prob_pares,prob_juego,n_apariciones
"[4, 5, 6, 12]",0.05668891007308548,0.14833174451858913,0.30823006037496026,0.35373371464887193,15735
"[4, 5, 6, 6]",0.0,0.9290474323794591,0.4421795374362995,0.3257546060368483,2551
"[4, 5, 6, 7]",0.0,0.8288300835654596,0.3137883008356546,0.32493036211699167,7180
"[4, 5, 7, 10]",0.000528680941052075,0.6484271742003701,0.31231826592651335,0.37998942638117894,7566
"[4, 5, 7, 11]",0.007382992748846407,0.42017139090309824,0.3088991430454845,0.3832564271588662,7585
"[4, 5, 7, 12]",0.0848828323993887,0.11143657666836475,0.3085201222618441,0.37321701477330615,15704
"[4, 5, 7, 7]",0.00036832412523020257,0.8095764272559852,0.46740331491712706,0.3370165745856354,2715
"[4, 6, 10, 10]",0.001577784790154623,0.585673714105396,0.5197223098769328,0.5260334490375512,3169
"[4, 6, 10, 11]",0.010745153001635132,0.3432609203457136,0.3165148329829479,0.5280308339173091,8562
"[4, 6, 10, 12]",0.1719944405837387,0.0472550382209868,0.3105744730136669,0.5277391707204077,17268
"[4, 6, 11, 11]",0.016841436288528758,0.28789323164918973,0.5455989831585637,0.5243088655862727,3147
"[4, 6, 11, 12]",0.3357901954062393,0.009427494000685635,0.3100217118043652,0.5289109816021026,17502
"[4, 6, 12, 12]",0.7007827402486352,6.577649148194435e-05,0.749391567453792,0.523646648687759,15203
"[4, 6, 6, 10]",0.0003419972640218878,0.6761285909712722,0.4740082079343365,0.37790697674418605,2924
"[4, 6, 6, 11]",0.005074424898511502,0.4587280108254398,0.44925575101488496,0.37313937753721244,2956
"[4, 6, 6, 12]",0.05885214007782101,0.13618677042801555,0.4777885862516213,0.38764591439688717,6168
"[4, 6, 6, 6]",0.0,0.9359823399558499,0.8145695364238411,0.33112582781456956,453
"[4, 6, 6, 7]",0.0,0.8196841718692618,0.47337495409474845,0.34190231362467866,2723
"[4, 6, 7, 10]",0.0005029548598013328,0.6152395322519804,0.3157299132402867,0.4170753174902552,7953
"[4, 6, 7, 11]",0.006463878326996198,0.4237008871989861,0.3198986058301648,0.411787072243346,7890
"[4, 6, 7, 12]",0.09385537654552267,0.09679030848007993,0.31578618708629946,0.41182715124266267,16014
"[4, 6, 7, 7]",0.0,0.802962962962963,0.4862962962962963,0.3437037037037037,2700
"[4, 7, 10, 10]",0.0012146978439113271,0.5873064075311266,0.5204980261160036,0.6210142726996659,3293
