mano,mano_legible,posicion,posicion_nombre,rank,mascara_idx,accion,reward_promedio,n_visitas,confianza,prob_seleccion_pct
"[1, 1, 11, 11]",Caballo-Caballo-As-As,3,MANO (J3),2,3,"Mantener [Caballo,Caballo,As] / Descartar [As]",0.4915681639085894,12690,ALTA,9.473395329903424
"[1, 1, 11, 11]",Caballo-Caballo-As-As,3,MANO (J3),3,2,"Mantener [Caballo,Caballo,As] / Descartar [As]",0.400709219858156,12690,ALTA,7.899263207130517
"[1, 1, 11, 11]",Caballo-Caballo-As-As,4,POSTRE (J4),1,9,"Mantener [Caballo,Caballo] / Descartar [As,As]",0.9139985770188545,11244,ALTA,64.7400033028629
"[1, 1, 11, 11]",Caballo-Caballo-As-As,4,POSTRE (J4),2,3,"Mantener [Caballo,Caballo,As] / Descartar [As]",-0.1408751334044823,11244,ALTA,7.850929077940092
"[1, 1, 11, 11]",Caballo-Caballo-As-As,4,POSTRE (J4),3,2,"Mantener [Caballo,Caballo,As] / Descartar [As]",-0.1816079686944148,11244,ALTA,7.236706561556135
"[1, 1, 11, 12]",Rey-Caballo-As-As,1,MANO (J1),1,9,"Mantener [Rey,Caballo] / Descartar [As,As]",0.950112478496758,151140,ALTA,49.317382575434685
"[1, 1, 11, 12]",Rey-Caballo-As-As,1,MANO (J1),2,13,"Mantener [Rey] / Descartar [Caballo,As,As]",0.5168386926028847,151140,ALTA,20.73304978157042
"[1, 1, 11, 12]",Rey-Caballo-As-As,1,MANO (J1),3,12,"Mantener [Caballo] / Descartar [Rey,As,As]",-0.0676194256980283,151140,ALTA,6.441830882601107
"[1, 1, 11, 12]",Rey-Caballo-As-As,2,POSTRE (J2),1,9,"Mantener [Rey,Caballo] / Descartar [As,As]",0.4948476570432823,152649,ALTA,45.85241714250579
"[1, 1, 11, 12]",Rey-Caballo-As-As,2,POSTRE (J2),2,13,"Mantener [Rey] / Descartar [Caballo,As,As]",0.0648874214701701,152649,ALTA,19.404547477380014
"[1, 1, 11, 12]",Rey-Caballo-As-As,2,POSTRE (J2),3,12,"Mantener [Caballo] / Descartar [Rey,As,As]",-0.4068156358705265,152649,ALTA,7.554182096496465
"[1, 1, 11, 12]",Rey-Caballo-As-As,3,MANO (J3),1,9,"Mantener [Rey,Caballo] / Descartar [As,As]",0.8139513344006775,151154,ALTA,38.91358602183435
"[1, 1, 11, 12]",Rey-Caballo-As-As,3,MANO (J3),2,13,"Mantener [Rey] / Descartar [Caballo,As,As]",0.4133665003903304,151154,ALTA,17.464561606574616
