mano,probabilidad_grande,probabilidad_chica,probabilidad_pares,probabilidad_juego,prob_rival_pares_condicionada,prob_rival_juego_condicionada
"[5, 5, 6, 11]",0.1963,0.0043,0.6084,0.4912,0.6594,0.2419
"[5, 5, 6, 3]",0.0033,0.0648,0.5706,0.0584,0.6525,0.2935
"[5, 5, 6, 12]",0.5594,0.0039,0.6034,0.4855,0.6551,0.2392
"[5, 5, 7, 7]",0.0198,0.0039,0.9763,0.3132,0.6642,0.2628
"[5, 5, 7, 10]",0.0812,0.0043,0.6048,0.5678,0.6456,0.2381
"[5, 5, 7, 11]",0.2343,0.0034,0.6017,0.5772,0.6568,0.2239
"[5, 5, 7, 3]",0.0142,0.067,0.5674,0.0906,0.6576,0.2825
"[5, 5, 7, 12]",0.616,0.0032,0.601,0.5669,0.6586,0.2288
"[5, 5, 10, 10]",0.1042,0.0049,0.985,0.8053,0.6526,0.1947
"[5, 5, 10, 11]",0.288,0.0037,0.6018,0.799,0.6609,0.201
"[5, 5, 10, 3]",0.0495,0.0635,0.5731,0.2483,0.651,0.2519
"[5, 5, 10, 12]",0.7177,0.0029,0.5967,0.798,0.6509,0.202
"[5, 5, 11, 11]",0.3401,0.0038,0.9913,0.809,0.6566,0.191
"[5, 5, 11, 3]",0.1707,0.0674,0.5707,0.2463,0.6564,0.2528
"[5, 5, 11, 12]",0.855,0.003,0.6073,0.8041,0.6567,0.1959
"[5, 5, 3, 3]",0.0003,0.0976,0.9692,0.0105,0.6597,0.3091
"[5, 5, 3, 12]",0.5074,0.0652,0.5827,0.2466,0.6487,0.2476
"[5, 5, 12, 12]",0.9865,0.0034,0.999,0.7996,0.6665,0.2004
"[5, 6, 6, 6]",0.004,0.0044,0.9439,0.2496,0.6715,0.2732
"[5, 6, 6, 7]",0.0215,0.003,0.6372,0.3142,0.6617,0.2737
"[5, 6, 6, 10]",0.0722,0.0039,0.6461,0.5758,0.6511,0.229
"[5, 6, 6, 11]",0.1996,0.0035,0.641,0.5723,0.6536,0.2382
"[5, 6, 6, 3]",0.0037,0.0615,0.6034,0.0883,0.6577,0.2987
"[5, 6, 6, 12]",0.5651,0.0039,0.6348,0.5761,0.6658,0.2373
"[5, 6, 7, 7]",0.0245,0.003,0.6778,0.3975,0.6563,0.2632
"[5, 6, 7, 10]",0.0902,0.0036,0.3553,0.6653,0.6447,0.2322
"[5, 6, 7, 11]",0.2542,0.0021,0.3524,0.6662,0.6476,0.2261
"[5, 6, 7, 3]",0.0173,0.0628,0.3596,0.1325,0.6404,0.2738
"[5, 6, 7, 12]",0.6358,0.0029,0.3529,0.6581,0.6471,0.2284
"[5, 6, 10, 10]",0.1025,0.0022,0.7607,1.0,0.6603,0.2007
"[5, 6, 10, 11]",0.3024,0.0022,0.3561,1.0,0.6439,0.1952
"[5, 6, 10, 3]",0.0649,0.0661,0.3506,0.3193,0.6494,0.2459
"[5, 6, 10, 12]",0.7355,0.0022,0.3535,1.0,0.6465,0.196
"[5, 6, 11, 11]",0.3467,0.0027,0.8467,1.0,0.65,0.1894
"[5, 6, 11, 3]",0.1893,0.0605,0.3559,0.3161,0.6441,0.2514
"[5, 6, 11, 12]",0.8756,0.0024,0.3616,1.0,0.6384,0.1961
"[5, 6, 3, 3]",0.0027,0.1061,0.4532,0.0195,0.6692,0.3131
"[5, 6, 3, 12]",0.559,0.0587,0.3521,0.3262,0.6479,0.2509
"[5, 6, 12, 12]",0.9886,0.0011,0.9351,1.0,0.6506,0.1971
"[5, 7, 7, 7]",0.0226,0.0013,0.9483,0.4836,0.6717,0.2485
"[5, 7, 7, 10]",0.0962,0.0017,0.7214,0.7302,0.6583,0.2245
"[5, 7, 7, 11]",0.2518,0.0021,0.717,0.7308,0.6487,0.2202
"[5, 7, 7, 3]",0.0244,0.0587,0.6879,0.1948,0.6538,0.2799
"[5, 7, 7, 12]",0.6436,0.002,0.7206,0.7288,0.6592,0.2196
"[5, 7, 10, 10]",0.1041,0.0018,0.7584,0.9443,0.6559,0.1907
"[5, 7, 10, 11]",0.3137,0.0012,0.3475,0.9501,0.6525,0.1907
"[5, 7, 10, 3]",0.0798,0.0585,0.3484,0.4037,0.6516,0.2449
"[5, 7, 10, 12]",0.7548,0.0013,0.3524,0.9512,0.6476,0.1878
"[5, 7, 11, 11]",0.3377,0.0018,0.8387,0.9457,0.6629,0.1898
"[5, 7, 11, 3]",0.2365,0.0583,0.3448,0.3997,0.6552,0.2397
"[5, 7, 11, 12]",0.902,0.0008,0.3472,0.9506,0.6528,0.1873
"[5, 7, 3, 3]",0.0117,0.0968,0.4642,0.0313,0.6605,0.3036
"[5, 7, 3, 12]",0.6108,0.0591,0.3529,0.3978,0.6471,0.2459
"[5, 7, 12, 12]",0.9921,0.0011,0.933,0.9461,0.6594,0.1923
"[5, 10, 10, 10]",0.0991,0.0016,0.9531,0.8928,0.6645,0.1671
"[5, 10, 10, 11]",0.325,0.001,0.7971,0.8947,0.6624,0.1587
"[5, 10, 10, 3]",0.0951,0.0548,0.7584,0.6742,0.6607,0.2119
